Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,Applied Optoelect,38.23,-1.49,-3.75%,40.21,37.55,985900,7/27/2018
AAON,Aaon Inc,36.65,0.15,0.41%,36.75,36.3,179400,7/27/2018
AAT,American Assets Trust,36.77,-0.91,-2.42%,37.65,36.66,187300,7/27/2018
AAWW,Atlas Air Ww,67.25,-0.55,-0.81%,68.45,66.75,179100,7/27/2018
AAXN,Axon Inc,68.76,-3.74,-5.16%,73.11,67.51,902000,7/27/2018
ABAX,Abaxis Inc,83.05,-0.18,-0.22%,83.2,83.04,98500,7/27/2018
ABCB,Ameris Bancorp,49.58,-1.27,-2.51%,49.85,45.6,337200,7/27/2018
ABG,Asbury Automotive Group Inc,68.15,-0.05,-0.07%,69.3,67.95,256000,7/27/2018
ABM,ABM Industries Incorporated,30.82,0.02,0.06%,31.13,30.73,530100,7/27/2018
ACET,Aceto Cp,3.15,-0.18,-5.41%,3.4,3.14,204100,7/27/2018
ACLS,Axcelis Tech Inc,22.25,0.75,3.49%,22.45,21.6,453700,7/27/2018
ACOR,Acorda Therapeutics,23.95,-0.85,-3.43%,25.2,23.8,366600,7/27/2018
ADC,Agree Realty Corp,52.21,-1.18,-2.21%,53.49,51.85,285100,7/27/2018
ADTN,Adtran Inc,16.3,-0.2,-1.21%,16.5,16.15,238100,7/27/2018
AEGN,Aegion Corp,24.51,-0.36,-1.45%,25.42,24.43,57300,7/27/2018
AEIS,Advanced Energy,60,1.61,2.76%,60.84,59.16,388100,7/27/2018
AEL,American Equity Investment Life,35.81,0.1,0.28%,36.55,35.69,359400,7/27/2018
AGYS,Agilysys Inc,16.13,-0.51,-3.06%,16.7,16.05,79400,7/27/2018
AHH,Armada Hoffler Properties Inc,14.81,-0.35,-2.31%,15.25,14.78,169500,7/27/2018
AIN,Albany International Corp,66.1,-0.95,-1.42%,67.25,65.53,86000,7/27/2018
AIR,AAR Corp,47.45,-0.12,-0.25%,47.9,47.28,111900,7/27/2018
AIT,Applied Industrial Technologies,73.55,-1.15,-1.54%,74.95,73.47,83300,7/27/2018
AJRD,Aerojet Rocketdyne Holdings,28.07,-1.19,-4.07%,29.45,28,444800,7/27/2018
AKR,Acadia Realty Trust,26.36,-0.81,-2.98%,27.19,26.28,486800,7/27/2018
AKS,AK Steel Holding Corp,5.25,0.06,1.16%,5.28,5.13,12977700,7/27/2018
ALG,Alamo Group,91.03,-0.12,-0.13%,92.22,90.34,40200,7/27/2018
ALGT,Allegiant Travel Com,124.85,6.8,5.76%,125.15,118.32,364700,7/27/2018
ALRM,Alarm.Com,42.78,-1.14,-2.60%,44.38,42.64,164400,7/27/2018
AMAG,Amag Pharmaceuticals,22.05,-0.45,-2.00%,22.5,21.55,432700,7/27/2018
AMBC,Ambac Financial Grp,19.92,-0.27,-1.34%,20.4,19.77,306700,7/27/2018
AMED,Amedisys Inc,93.76,-2.65,-2.75%,96.71,93.47,193300,7/27/2018
AMN,Amn Healthcare Services Inc,61.1,-1.1,-1.77%,62.4,60.9,314600,7/27/2018
AMPH,Amphastar Pharma,17.19,-0.24,-1.38%,17.42,17.05,121200,7/27/2018
AMSF,Amerisafe Inc,63.3,-1.1,-1.71%,64.75,62.95,46300,7/27/2018
AMWD,Amer Woodmark Cp,82.1,-2.7,-3.18%,85,82,156000,7/27/2018
ANDE,Andersons Inc,34.4,-0.52,-1.50%,35.2,34.2,118700,7/27/2018
ANF,Abercrombie & Fitch Company,23.15,-0.98,-4.06%,24.37,23.02,2141600,7/27/2018
ANGO,Angiodynamics Inc,21.42,-0.46,-2.10%,21.88,21.04,252800,7/27/2018
ANIK,Anika Therapeutics,40.05,-0.63,-1.55%,42.5,38.31,450400,7/27/2018
ANIP,ANI Pharma Inc,68.08,-2.65,-3.75%,70.98,66.65,98600,7/27/2018
APEI,American Pub. Edu.,44.75,-0.7,-1.54%,46,44,60400,7/27/2018
APOG,Apogee Entrpr Inc,49.21,0.08,0.16%,49.63,48.94,246600,7/27/2018
ARCB,Arcbest Corp,44.4,-0.1,-0.22%,44.7,43.35,222500,7/27/2018
ARI,Apollo Commercial Real Estate,18.85,0.01,0.05%,18.89,18.77,1138300,7/27/2018
AROC,Archrock Inc,13.15,-0.15,-1.13%,13.35,13,951300,7/27/2018
ARR,Armour Residential R,23.52,0.04,0.17%,23.62,23.35,417800,7/27/2018
ASGN,On Assignment,90.45,-1.86,-2.01%,92.12,88.89,461000,7/27/2018
ASIX,Advansix Inc,39.45,-0.78,-1.94%,40.5,39.29,87500,7/27/2018
ASNA,Ascena Retail Grp,3.42,-0.21,-5.79%,3.68,3.39,2444500,7/27/2018
ASTE,Astec Inds Inc,48.27,-1.39,-2.80%,49.77,48.15,215500,7/27/2018
ATNI,Atn International,62.2,-3.04,-4.66%,64.4,60.46,81800,7/27/2018
ATU,Actuant Corp,27.95,-0.5,-1.76%,28.55,27.8,206400,7/27/2018
AVA,Avista Corp,50.21,-0.32,-0.63%,50.55,50.16,205600,7/27/2018
AVAV,Aerovironment Inc,72.09,-3.11,-4.14%,76.32,71.72,406400,7/27/2018
AVD,American Vanguard Corp,21.25,-0.25,-1.16%,21.55,21,86400,7/27/2018
AVP,Avon Products,1.52,-0.03,-1.94%,1.56,1.51,3145000,7/27/2018
AWR,American States Water Company,60.33,-1.19,-1.93%,61.66,60.07,169700,7/27/2018
AXE,Anixter International Inc,70,0.05,0.07%,70.4,69.25,392000,7/27/2018
AXL,American Axle & Manufacturing,16.09,0.64,4.14%,16.12,15.43,1703200,7/27/2018
AZZ,Azz Inc,53.7,-0.6,-1.10%,54.5,53.2,148100,7/27/2018
B,Barnes Group,68.3,4.15,6.47%,69.77,64.41,566600,7/27/2018
BABY,Natus Medical Inc,34.55,0.45,1.32%,35.05,32.5,454300,7/27/2018
BANC,First Pactrust Bancorp,20,-0.15,-0.74%,20.34,19.88,701700,7/27/2018
BANR,Banner Corp,62.86,-0.56,-0.88%,64,62.18,121800,7/27/2018
BCC,Boise Cascade L.L.C.,42.95,-0.4,-0.92%,43.7,42.7,369300,7/27/2018
BCOR,Blucora Inc,36.4,-1.55,-4.08%,38,35.95,310000,7/27/2018
BCPC,Balchem Cp,98.53,-2.04,-2.03%,100.49,97.84,65400,7/27/2018
BEAT,Biotelemetry Inc,52.75,-0.95,-1.77%,55.34,52.55,600700,7/27/2018
BEL,Belmond Ltd,11,-0.35,-3.08%,11.45,11,402300,7/27/2018
BELFB,Bel Fuse Inc Cl B,22.15,-0.8,-3.49%,23.05,22.1,11300,7/27/2018
BFS,Saul Centers,52.28,-1.54,-2.86%,54.02,52.14,41400,7/27/2018
BGFV,Big 5 Sporting,6.35,-0.05,-0.78%,6.45,6.15,197100,7/27/2018
BGG,Briggs & Stratton Corp,16.95,-0.02,-0.12%,17.12,16.84,234300,7/27/2018
BGS,B&G Foods Holdings,31.2,-0.4,-1.27%,31.75,30.8,557300,7/27/2018
BHE,Benchmark Electronics,24.15,-0.35,-1.43%,24.7,24.1,566800,7/27/2018
BHLB,Berkshire Hills Bancorp,40.55,-0.6,-1.46%,41.25,40.45,156300,7/27/2018
BJRI,Bj's Restaurants Inc,64,2.4,3.90%,73.05,63.7,1117800,7/27/2018
BKE,Buckle Inc,23.15,-1.15,-4.73%,24.45,23.05,480800,7/27/2018
BKS,Barnes & Noble,5.95,-0.05,-0.83%,6,5.85,1443800,7/27/2018
BLD,Topbuild Corp,74.53,-0.87,-1.15%,75.58,73.84,207900,7/27/2018
BMI,Badger Meter,50.8,-1.55,-2.96%,52.38,50.7,110700,7/27/2018
BNED,Barnes & Noble Education Inc C,5.36,-0.04,-0.74%,5.42,5.28,383200,7/27/2018
BOFI,Bofi Holding Inc,38.83,-1.42,-3.53%,40.73,38.1,1158900,7/27/2018
BPFH,Boston Pvt Finl Hldg,14.5,-0.1,-0.68%,14.65,14.25,389800,7/27/2018
BRC,Brady Corp,36.9,-0.75,-1.99%,37.85,36.9,121300,7/27/2018
BRKL,Brookline Bancorp,18.5,-0.2,-1.07%,18.7,18.15,425400,7/27/2018
BRKS,Brooks Automation,31.07,0.49,1.60%,31.55,30.53,580800,7/27/2018
BRS,Bristow Group Inc,14,-0.64,-4.37%,14.79,13.95,302400,7/27/2018
CACI,Caci International,176.15,-0.75,-0.42%,177.6,174.8,88800,7/27/2018
CAL,Caleres Inc,33.28,-1.42,-4.09%,34.71,33.17,363000,7/27/2018
CALM,Cal-Maine Foods In,45,-0.1,-0.22%,45.35,44.45,332600,7/27/2018
CAMP,Calamp Corp,22.26,-0.85,-3.68%,23.23,22.22,431200,7/27/2018
CASH,Meta Financial Grp,90.8,-6.15,-6.34%,91.65,82,295700,7/27/2018
CATM,Cardtronics Inc,24.91,-1.46,-5.54%,26.53,24.87,238800,7/27/2018
CATO,Cato Corp,25.1,-1.36,-5.14%,26.53,25,264400,7/27/2018
CBB,Cincinnati Bell Inc,13.05,-0.4,-2.97%,13.55,13,275000,7/27/2018
CBL,Cbl & Associates Properties,5.19,-0.19,-3.53%,5.44,5.18,2865800,7/27/2018
CBM,Cambrex Corp,61.3,-1.2,-1.92%,62.65,61.15,398500,7/27/2018
CBU,Community Bank System,64.21,-0.71,-1.09%,65.33,63.98,182000,7/27/2018
CCMP,Cabot Microelectron,118.88,0.29,0.24%,119.66,116.41,153600,7/27/2018
CCOI,Cogent Comm Hldgs,52.2,-0.65,-1.23%,53.1,51.9,160800,7/27/2018
CCRN,Cross Ctry Hlthcr,11.73,-0.2,-1.68%,12.12,11.69,128100,7/27/2018
CDR,Cedar Shopping Centers Inc,4.55,-0.29,-5.99%,4.88,4.54,266700,7/27/2018
CECO,Career Education,18.23,-0.3,-1.62%,18.59,18.13,296300,7/27/2018
CEIX,Consol Energy Inc,40.97,-1.29,-3.05%,42.24,40.49,272100,7/27/2018
CENT,Central Garden,42.59,-0.41,-0.95%,43.15,42.06,51800,7/27/2018
CENTA,Central Garden & Pet,39.61,-0.26,-0.65%,40.05,39.1,164500,7/27/2018
CENX,Century Aluminum C,13.04,-0.17,-1.29%,13.36,13.02,721700,7/27/2018
CEVA,Ceva Inc,30.85,-0.65,-2.06%,31.6,30.35,130700,7/27/2018
CHCO,City Holding Co,81.78,-0.25,-0.30%,82.21,81.13,64700,7/27/2018
CHCT,Community Healthcare Trust Inc,29.83,-0.82,-2.68%,30.7,29.52,93400,7/27/2018
CHS,Chico's Fas,8.62,-0.34,-3.79%,9.05,8.61,1994200,7/27/2018
CHSP,Chesapeake Lodging Trust,31.12,-0.92,-2.87%,32.34,30.96,359100,7/27/2018
CHUY,Chuy's Holdings Inc,32.45,-0.4,-1.22%,33,32.2,55200,7/27/2018
CIR,Circor International,43.13,2.69,6.65%,45.19,42.42,532900,7/27/2018
CJ,C&J Energy Services Inc,23.53,1.05,4.67%,23.58,22.45,1178100,7/27/2018
CKH,Seacor Smit Inc,53.25,-0.91,-1.68%,54.42,53.15,105900,7/27/2018
CLD,Cloud Peak Energy Inc,2.71,-0.28,-9.36%,2.92,2.68,1527100,7/27/2018
CLDT,Chatham Lodging Trust [Reit],21.29,-0.55,-2.52%,21.84,21.27,202400,7/27/2018
CLW,Clearwater Paper Corp,21.9,-0.45,-2.01%,22.4,21.79,125700,7/27/2018
CMO,Capstead Mortgage Corp,8.29,-0.05,-0.60%,8.39,8.28,769900,7/27/2018
CMTL,Comtech Telecom Co,33.44,-0.8,-2.32%,34.62,33.22,86300,7/27/2018
CNMD,C O N M E D Cp,73.44,-2.04,-2.70%,75.8,72.81,113000,7/27/2018
CNSL,Consolidated Communications Holdings Inc,12.48,-0.08,-0.64%,12.81,12.47,400900,7/27/2018
COHU,Cohu Inc,25.54,0.64,2.57%,25.62,25.01,260600,7/27/2018
COKE,Coca Cola Bot Cons,139.93,1.53,1.11%,140.68,138.2,59400,7/27/2018
COLB,Columbia Banking Sys,41.31,-0.72,-1.71%,42.34,40.98,222800,7/27/2018
CORE,Core Mark Holding,23.94,-0.82,-3.31%,24.82,23.84,287600,7/27/2018
CORT,Corcept Therapeutics,12.73,-0.43,-3.27%,13.27,12.71,1132000,7/27/2018
CPF,Central Pacific Financial Co,28.09,-0.51,-1.78%,28.79,27.94,105800,7/27/2018
CPLA,Capella Education Co,104.55,-1.05,-0.99%,105.72,104.15,70300,7/27/2018
CPS,Cooper Std Hldg Inc,134.07,-0.89,-0.66%,137.48,134.06,111200,7/27/2018
CPSI,Computer Programs,33.85,-0.25,-0.73%,34.15,33.25,111100,7/27/2018
CRAY,Cray Inc,24.45,-1.35,-5.23%,25.8,24.45,185900,7/27/2018
CROX,Crocs Inc,18.08,-0.64,-3.42%,18.82,18,832500,7/27/2018
CRR,Carbo Ceramics,9.78,-0.61,-5.87%,10.61,9.62,654500,7/27/2018
CRVL,Corvel Cp,54.8,-1.65,-2.92%,56.35,54.6,11700,7/27/2018
CRY,Cryolife,29.65,-1.35,-4.35%,31.1,29.55,85900,7/27/2018
CRZO,Carrizo Oil & Gas,27.72,-0.75,-2.63%,28.93,27.64,1431200,7/27/2018
CSGS,C S G Sys Intl,41.22,-0.24,-0.58%,41.94,40.94,153800,7/27/2018
CTB,Cooper Tire & Rubber Company,26.6,1.55,6.19%,26.75,24.65,1106900,7/27/2018
CTRE,Caretrust REIT Inc,16.46,-0.38,-2.26%,16.92,16.3,364400,7/27/2018
CTRL,Control4 Corp,25.21,-0.35,-1.37%,25.89,24.98,199100,7/27/2018
CTS,Cts Corp,35.35,-0.35,-0.98%,36.45,35.25,223100,7/27/2018
CUB,Cubic Corp,67.75,-1.35,-1.95%,69.3,67,58200,7/27/2018
CUBI,Customers Bancorp,25.81,-0.04,-0.15%,26.01,25.46,445900,7/27/2018
CUTR,Cutera Inc,42.15,0.35,0.84%,42.35,41.1,107300,7/27/2018
CVBF,Cvb Financial Corp,23.64,-0.03,-0.13%,23.87,23.46,495300,7/27/2018
CVCO,Cavco Inds Inc,208.8,-8.3,-3.82%,217.4,207.55,29800,7/27/2018
CVGW,Calavo Growers Inc,92.25,-0.7,-0.75%,93.6,91.35,83500,7/27/2018
CWT,California Water Service Group Holding,41.1,-0.85,-2.03%,42.15,40.95,246400,7/27/2018
CYH,Community Health Systems,3.12,-0.16,-4.88%,3.45,2.95,4533300,7/27/2018
CYTK,Cytokinetics,7.45,-0.45,-5.70%,8.15,7.15,428700,7/27/2018
DAKT,Daktronics Inc,8.32,-0.11,-1.30%,8.48,8.28,124100,7/27/2018
DAR,Darling International Inc,20,-0.22,-1.09%,20.28,19.98,778000,7/27/2018
DBD,Diebold Nixdorf Inc,10.85,-0.05,-0.46%,11,10.4,1459200,7/27/2018
DCOM,Dime Community Bncsh,17.9,-1.7,-8.67%,19.6,17.9,475800,7/27/2018
DDD,3D Systems Corp,12.41,-0.76,-5.77%,13.22,12,3808700,7/27/2018
DEA,Easterly Government Properties,18.85,-0.48,-2.48%,19.39,18.84,441700,7/27/2018
DEPO,Depomed Inc,8.25,-0.15,-1.79%,8.46,8.13,570300,7/27/2018
DF,Dean Foods Company,9.79,-0.01,-0.10%,9.95,9.7,1267100,7/27/2018
DFIN,Donnelly Financial Solutions Inc,20.72,-0.21,-1.00%,21,20.45,184500,7/27/2018
DGII,Digi Intl Inc,13.55,0.05,0.37%,14.45,13.2,329300,7/27/2018
DIN,Dineequity Inc,71.81,-0.35,-0.49%,73.39,71.71,279100,7/27/2018
DIOD,Diodes Inc,37.56,-0.93,-2.42%,38.68,37.52,336100,7/27/2018
DNR,Denbury Resources,4.19,-0.32,-7.10%,4.55,4.19,10935500,7/27/2018
DORM,Dorman Products Inc,72.17,-0.16,-0.22%,73.59,70,134200,7/27/2018
DPLO,Diplomat Pharmacy Inc,21.9,-0.16,-0.73%,22.49,21.8,2740300,7/27/2018
DRH,Diamondrock Hospitality Company,11.74,-0.15,-1.26%,11.94,11.73,1291700,7/27/2018
DSPG,D S P Group Inc,12.8,-0.2,-1.54%,13.05,12.65,63500,7/27/2018
DSW,DSW Inc,26.81,-0.74,-2.69%,27.63,26.67,693700,7/27/2018
DXPE,Dxp Enterprise,40.6,-1.79,-4.22%,42.46,40.53,57100,7/27/2018
EBIX,Ebix Inc,81.5,-3,-3.55%,84.55,81.4,121500,7/27/2018
EBS,Emergent Biosolutions,53.58,-1.65,-2.99%,55.08,53.28,197200,7/27/2018
ECHO,Echo Global Logistic,32.4,0.4,1.25%,33.35,31.8,629500,7/27/2018
ECOL,US Ecology Inc,66.9,-0.35,-0.52%,68.25,66.7,51900,7/27/2018
ECPG,Encore Capital Grp,36.4,-0.2,-0.55%,36.7,36.2,165400,7/27/2018
EE,El Paso Electric Company,61.15,-0.3,-0.49%,61.5,60.8,169100,7/27/2018
EFII,Elec Imaging Inc,33.63,-1.15,-3.31%,34.51,33.42,557300,7/27/2018
EGHT,8X8 Inc,20.75,-1.3,-5.90%,23.1,20.6,2420600,7/27/2018
EGL,Engility Holdings Inc,34.19,-0.74,-2.12%,34.94,33.83,62600,7/27/2018
EGOV,Nic Inc,16.05,-0.55,-3.31%,16.6,16,288700,7/27/2018
EGP,Eastgroup Properties,94.15,-0.99,-1.04%,95.35,93.97,108300,7/27/2018
EGRX,Eagle Pharmaceutical,80.45,-1.21,-1.48%,82.2,80.13,232900,7/27/2018
EHTH,Ehealth Inc,23.16,0.16,0.70%,25,22.3,321300,7/27/2018
EIG,Employers Holdings Inc,45.35,-0.3,-0.66%,46.7,44.85,140200,7/27/2018
ELY,Callaway Golf Company,19.29,-0.28,-1.43%,19.76,19.12,765600,7/27/2018
ENDP,Endo Int'l Plc,12.09,-0.01,-0.08%,12.14,11.94,2371100,7/27/2018
ENSG,The Ensign Group In,37.11,-0.94,-2.47%,38.09,36.98,133100,7/27/2018
ENTA,Enanta Pharmaceutica,96,-22.67,-19.10%,118.46,95.1,658500,7/27/2018
ENVA,Enova International Inc,31.5,-4.9,-13.46%,38.1,30.45,886300,7/27/2018
EPAY,Bottomline Tech In,55.82,-1.53,-2.67%,57.37,55.26,350700,7/27/2018
ERA,Era Group Inc,13.9,-0.2,-1.42%,14.23,13.81,43000,7/27/2018
ESE,Esco Technologies Inc,61.55,-1.15,-1.83%,63.74,61.5,73700,7/27/2018
ESIO,Electro Sci Inds,17.63,0.33,1.91%,17.84,17.35,463900,7/27/2018
ESND,Essendant Inc,15.53,2.36,17.92%,16.1,14.15,693800,7/27/2018
ETH,Ethan Allen Interiors Inc,22.35,-0.15,-0.67%,22.55,21.8,332300,7/27/2018
EVTC,Evertec Inc,24.05,-0.45,-1.84%,24.67,23.9,456100,7/27/2018
EXLS,Exlservice Holdings,60.19,-1.6,-2.59%,61.94,60.11,71200,7/27/2018
EXPO,Exponent Inc,49.25,-1.05,-2.09%,50.4,48.95,195000,7/27/2018
EXPR,Express Inc,9.52,-0.49,-4.90%,10.1,9.5,1596400,7/27/2018
EXTN,Exterran Corp,27,-0.05,-0.18%,27.27,26.79,104300,7/27/2018
EXTR,Extreme Networks,8.5,-0.34,-3.85%,8.91,8.43,1086500,7/27/2018
EZPW,Ezcorp Inc,11.55,-0.5,-4.15%,12.1,11.55,571900,7/27/2018
FARO,Faro Tech Inc,69.15,0.7,1.02%,70.2,66.9,186100,7/27/2018
FBP,First Bancorp,8.34,0.01,0.12%,8.44,8.23,1152600,7/27/2018
FCF,First Commonwealth Financial Corp,17.6,-0.12,-0.68%,17.91,17.49,440500,7/27/2018
FCFS,First Cash Fin Svcs,82.4,-6.7,-7.52%,89.65,82.05,554400,7/27/2018
FCN,Fti Consulting,75.52,0.13,0.17%,77.95,73.13,656500,7/27/2018
FCPT,Four Corners Property Trust In,24.76,-0.13,-0.52%,24.99,24.53,220000,7/27/2018
FELE,Franklin Electric Co,47.7,-1.15,-2.35%,49.25,47.65,135600,7/27/2018
FF,Futurefuel Corp,13.43,-0.3,-2.18%,13.76,13.4,33100,7/27/2018
FFBC,First Finl Bncp [Oh],30.75,-0.5,-1.60%,31.4,30.75,266900,7/27/2018
FFIN,First Finl Bkshs Inc,56.35,-1.3,-2.25%,58.05,56.22,215500,7/27/2018
FIX,Comfort Systems USA,54.35,5.25,10.69%,59.05,51.55,854300,7/27/2018
FLOW,SPX Flow Inc,45.34,-0.72,-1.56%,46.22,45.1,93400,7/27/2018
FMBI,First Midwest Bncp,26.75,-0.17,-0.63%,27.18,26.62,519300,7/27/2018
FN,Fabrinet,38.59,-1.13,-2.84%,39.96,38.43,160400,7/27/2018
FNSR,Finisar Corp,16.99,-0.48,-2.75%,17.57,16.91,2473600,7/27/2018
FORM,Formfactor Inc,13.05,0.05,0.38%,13.35,12.85,358800,7/27/2018
FORR,Forrester Resrch,44.55,1.2,2.77%,44.65,42.5,34400,7/27/2018
FOSL,Fossil Group,24.49,-2.78,-10.19%,27.49,24.4,1328400,7/27/2018
FOXF,Fox Factory Cp,49.15,-0.85,-1.70%,50.25,48.75,137500,7/27/2018
FRAN,Francesca's Holdings,7.81,-0.17,-2.13%,8.13,7.68,494700,7/27/2018
FRGI,Fiesta Restaurant Gp,29.35,-0.45,-1.51%,30.05,29.15,148200,7/27/2018
FSB,Franklin Financial Network Inc,38.4,0.65,1.72%,38.55,37.65,193500,7/27/2018
FSP,Franklin Street Properties,8.44,-0.19,-2.20%,8.69,8.42,211000,7/27/2018
FSS,Federal Signal Corp,23.78,-0.39,-1.61%,24.3,23.73,112900,7/27/2018
FTD,Ftd Companies,3.38,-0.16,-4.52%,3.55,3.29,252800,7/27/2018
FTK,Flotek Industries,3.05,-0.02,-0.65%,3.13,3,368200,7/27/2018
FTR,Frontier Commun Cp,4.83,-0.31,-6.03%,5.2,4.82,2995500,7/27/2018
FUL,H. B. Fuller Company,56.41,-0.25,-0.44%,56.82,56.31,266300,7/27/2018
FWRD,Foward Air Corp,62.41,-0.17,-0.27%,63.14,61.7,128200,7/27/2018
GBCI,Glacier Bancorp Inc,43.67,-0.33,-0.75%,44.19,43.55,316200,7/27/2018
GBX,Greenbrier Companies,56.55,-0.9,-1.57%,57.8,56.47,303200,7/27/2018
GCI,Gannett Co. Inc,10.3,-0.06,-0.58%,10.39,10.05,1723600,7/27/2018
GCO,Genesco Inc,40,-1.05,-2.56%,41.25,39.55,304600,7/27/2018
GDOT,Green Dot Corp,80.49,-3.02,-3.62%,83.73,80.49,304100,7/27/2018
GEOS,Geospace Technologie,14.54,-0.01,-0.07%,14.62,14.24,48400,7/27/2018
GES,Guess Inc,21.96,-0.86,-3.77%,22.99,21.87,307700,7/27/2018
GFF,Griffon Corp,17.45,-0.45,-2.51%,17.95,17.25,212700,7/27/2018
GHL,Greenhill & Co. Inc,32.4,-0.05,-0.15%,32.65,31.8,359500,7/27/2018
GIFI,Gulf Island Fab,9.2,-0.1,-1.08%,9.3,9.05,45200,7/27/2018
GIII,G-III Apparel Gp I,44.9,-1.99,-4.24%,47.31,44.31,336300,7/27/2018
GLT,Glatfelter,20.15,-0.12,-0.59%,20.36,20.14,159100,7/27/2018
GME,Gamestop Corp,14.83,0.02,0.14%,14.97,14.55,1414500,7/27/2018
GNBC,Green Bancorp,24.3,0,unch,25,24.3,280800,7/27/2018
GNL,Global Net Lease Inc,20.6,-0.43,-2.04%,21.1,20.51,275900,7/27/2018
GOV,Government Properties Income Trust,14.7,-1.04,-6.61%,15.4,14.69,1380700,7/27/2018
GPI,Group 1 Automotive,68.96,4.01,6.17%,69.42,65.14,371900,7/27/2018
GPRE,Green Plains Inc,16.3,0.3,1.87%,16.4,15.85,841500,7/27/2018
GTLS,Chart Industries In,74.54,0.5,0.68%,75.1,73.26,328200,7/27/2018
GTY,Getty Realty Corp,28.08,-0.79,-2.74%,28.87,28.04,102300,7/27/2018
GWB,Great Western Bancorp Inc,42.3,-0.8,-1.86%,43.36,42.22,256000,7/27/2018
HA,Hawaiian Hldgs Inc,39.3,-1.25,-3.08%,40.8,39,818400,7/27/2018
HAFC,Hanmi Financial Cp,24.75,-0.3,-1.20%,25.25,24.6,260200,7/27/2018
HAYN,Haynes Intl Inc,41.74,-0.52,-1.23%,42.45,41.31,48700,7/27/2018
HCI,Homeowners Choice,42.36,-0.52,-1.21%,43.24,41.85,34400,7/27/2018
HF,HFF Inc,44,5.06,12.99%,45.38,40.48,1235500,7/27/2018
HI,Hillenbrand Inc,49.3,-0.7,-1.40%,50.4,49.17,320200,7/27/2018
HIBB,Hibbett Sports Inc,23.2,-0.5,-2.11%,24.05,23.05,291000,7/27/2018
HLIT,Harmonic Inc,4.5,0.1,2.27%,4.57,4.35,421100,7/27/2018
HLX,Helix Energy Solutions Group,9.94,0.09,0.91%,10.25,9.82,2504600,7/27/2018
HMN,Horace Mann Educators Corp,43.5,-1,-2.25%,44.6,43.45,121900,7/27/2018
HMST,Homestreet Inc,29.35,-1.25,-4.08%,30.6,29.35,166900,7/27/2018
HMSY,Hms Hldgs Cp,23.64,-0.35,-1.46%,24.14,23.36,433800,7/27/2018
HOPE,Hope Bancorp Inc,16.95,-0.18,-1.05%,17.28,16.9,516400,7/27/2018
HPR,Highpoint Resources Corp.,6.76,-0.18,-2.59%,6.98,6.75,1169300,7/27/2018
HQY,Healthequity,76.4,-6.16,-7.46%,82.71,75.81,522800,7/27/2018
HSC,Harsco Corp,24.4,-0.2,-0.81%,24.7,24.15,362000,7/27/2018
HSII,Heidrick & Struggl,34.6,-0.85,-2.40%,35.6,34.4,124400,7/27/2018
HSKA,Heska Corp,101.01,-4.58,-4.34%,108.12,100.95,38200,7/27/2018
HSTM,Healthstream Inc,27.94,-0.42,-1.48%,28.44,27.62,201400,7/27/2018
HT,Hersha Hospitality Trust,21.22,-0.3,-1.39%,21.75,21.14,328000,7/27/2018
HTLD,Heartland Express,19.1,-0.1,-0.52%,19.28,18.91,592400,7/27/2018
HUBG,Hub Group Inc A,45.95,-0.35,-0.76%,46.5,45.05,467100,7/27/2018
HVT,Haverty Furniture Companies,19.9,-0.65,-3.16%,20.6,19.8,57000,7/27/2018
HWKN,Hawkins Inc,37.6,-1.1,-2.84%,39.15,37.57,25100,7/27/2018
HZO,Marinemax Inc,18.9,-0.05,-0.26%,19.65,18.2,491400,7/27/2018
IBP,Installed Building Products I,53,-1.75,-3.20%,54.85,52.7,129100,7/27/2018
IIIN,Insteel Industries,40.71,-1.24,-2.96%,42.35,40.63,216500,7/27/2018
IIVI,I I V I Inc,44.85,-1.05,-2.29%,46.15,44.65,383500,7/27/2018
INDB,Independent Bk Corp,89.3,-1,-1.11%,90.45,89.05,68600,7/27/2018
INGN,Inogen Inc,198.83,-5.82,-2.84%,204.66,193.82,173000,7/27/2018
INN,Summit Hotel Properties,13.66,-0.24,-1.73%,13.87,13.62,401600,7/27/2018
INTL,Intl Fcstone Inc,54.08,-1.19,-2.15%,55.5,53.68,31400,7/27/2018
INVA,Innoviva Inc,13.77,-0.04,-0.29%,14.16,13.39,1018900,7/27/2018
IOSP,Innospec Inc,79.35,-2.35,-2.88%,82.15,79.25,58400,7/27/2018
IPAR,Inter Parfums Inc,59.65,-0.25,-0.42%,60.35,58.97,123000,7/27/2018
IPHS,Innophos Hldngs Inc,48.1,-1.26,-2.55%,49.5,47.97,61600,7/27/2018
IRBT,Irobot Corp,80.16,-2.75,-3.32%,83.5,79.14,1007500,7/27/2018
IRDM,Iridium Comm Inc,17.95,-0.2,-1.10%,18.4,17.8,588000,7/27/2018
IRT,Independence Realty Trust Inc,9.86,-0.17,-1.69%,10.08,9.83,406400,7/27/2018
ITG,Investment Technology Group,22.43,-0.32,-1.41%,22.9,22.3,137000,7/27/2018
ITGR,Integer Holdings Corp,72.05,-1.2,-1.64%,73.8,71.35,161200,7/27/2018
ITRI,Itron Inc,59.4,-1.4,-2.30%,61,59.35,230800,7/27/2018
IVC,Invacare Corp,17.6,0.1,0.57%,17.85,17.2,266900,7/27/2018
