Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NBHC,National Bank Holdings Corp,40.04,-0.12,-0.30%,40.4,39.99,113700,7/27/2018
NBTB,NBT Bancorp Inc,41.06,-0.51,-1.23%,41.83,40.87,66700,7/27/2018
NCI,Navigant Consulting,21.2,-0.43,-1.99%,21.59,21.02,273100,7/27/2018
NE,Noble Corp,5.59,-0.17,-2.95%,5.82,5.57,3615400,7/27/2018
NEOG,Neogen Cp,81.02,-1.78,-2.15%,82.84,80.63,132800,7/27/2018
NEWM,New Media Investment Group Inc,18.04,-0.59,-3.17%,18.78,18.03,360700,7/27/2018
NFBK,Northfield Bncrp Del,16.21,-0.58,-3.45%,16.83,16.17,70500,7/27/2018
NGVT,Ingevity Corp,99.06,1.44,1.48%,100.2,98.07,473900,7/27/2018
NLS,Nautilus Group,13.95,-0.3,-2.11%,14.25,13.85,225700,7/27/2018
NMIH,Nmi Holdings Cmn A,20.7,0.1,0.49%,21.05,20.4,568100,7/27/2018
NP,Neenah Paper,87.35,-1.5,-1.69%,89.4,87.25,53700,7/27/2018
NPK,National Presto Industries,117.6,-3.95,-3.25%,122.45,117.5,24700,7/27/2018
NPO,Enpro Industries,73.82,-0.45,-0.61%,75.05,73.3,88700,7/27/2018
NR,Newpark Resources,10.7,1.05,10.88%,10.75,9.65,1497000,7/27/2018
NSA,National Storage Affiliates Tru,28.37,-0.78,-2.68%,29.41,28.29,395100,7/27/2018
NSIT,Insight Enterpr,50.11,-0.89,-1.75%,50.97,49.64,175900,7/27/2018
NSP,Insperity Inc,100.4,-1.85,-1.81%,104.05,99.1,289300,7/27/2018
NTGR,Netgear Inc,69.25,0.05,0.07%,69.8,68.6,557600,7/27/2018
NTRI,Nutrisystem Inc,39.3,-0.85,-2.12%,40.9,38.85,1231800,7/27/2018
NWBI,Northwest Bancshares,18.05,-0.19,-1.04%,18.3,18,262500,7/27/2018
NWN,Northwest Natural Gas Company,64.6,-0.65,-1.00%,65.4,63.95,138300,7/27/2018
NX,Quanex Building Products Corp,17.05,-0.2,-1.16%,17.45,16.95,197700,7/27/2018
NYMT,New York Mtge Trust,6.12,-0.01,-0.16%,6.15,6.09,1051700,7/27/2018
OCLR,Oclaro Inc,8.6,-0.09,-1.04%,8.72,8.58,2028600,7/27/2018
ODP,Office Depot,2.49,-0.07,-2.73%,2.6,2.49,5626900,7/27/2018
OFG,Oriental Financial Group,16.45,0,unch,16.65,16.38,249600,7/27/2018
OFIX,Orthofix Intl Nv,59.41,-0.68,-1.13%,60.81,58.89,167600,7/27/2018
OIS,Oil States International,33.85,0.6,1.80%,34.25,33,958300,7/27/2018
OMCL,Omnicell Inc,59.85,5.85,10.83%,63.45,56.5,1649200,7/27/2018
OMI,Owens & Minor,17.6,0.11,0.63%,17.63,17.29,464100,7/27/2018
ONB,Old National Bncp,19.48,-0.27,-1.39%,19.95,19.4,716500,7/27/2018
OPB,Opus Bank,27.9,-0.2,-0.71%,28.25,27.55,120000,7/27/2018
ORIT,Oritani Financial,16.45,-0.05,-0.30%,16.5,16.25,163300,7/27/2018
ORN,Orion Group Holdings Inc,9.12,-0.16,-1.72%,9.36,9.12,152000,7/27/2018
OSIS,O S I Systems Inc,77.1,-1.04,-1.33%,78.76,76.49,61300,7/27/2018
OSPN,Onespan Inc.,18.55,-1.95,-9.51%,20.8,18.15,664200,7/27/2018
OSUR,Orasure Tech Inc,16.65,-0.45,-2.63%,17.15,16.57,219900,7/27/2018
OXM,Oxford Industries,92.14,-3.5,-3.66%,96.08,91.45,173600,7/27/2018
PAHC,Phibro Anl Htlh A,47.15,-0.55,-1.15%,47.65,46.67,90200,7/27/2018
PARR,Par Petroleum Corp,17.27,-0.3,-1.71%,17.73,17.2,130300,7/27/2018
PATK,Patrick Inds Inc,59.6,-2.4,-3.87%,62.45,59.5,191200,7/27/2018
PDCE,Pdc Energy Inc,61.83,-1.71,-2.69%,63.69,61.36,594800,7/27/2018
PDFS,Pdf Solutions Inc,10.62,-0.11,-1.03%,10.78,10.51,127800,7/27/2018
PEI,Pennsylvania Real Estate Investment,10.15,-0.5,-4.69%,10.65,10.15,915900,7/27/2018
PENN,Penn Natl Gaming Inc,31.24,-1.26,-3.88%,33.07,31.05,1617700,7/27/2018
PERY,Perry Ellis Int,27.93,-0.19,-0.68%,28.12,27.76,60500,7/27/2018
PES,Pioneer Energy Services Corp,4.85,-0.15,-3.00%,5.15,4.85,493600,7/27/2018
PETS,Petmed Express Inc,35.43,-0.71,-1.96%,36.44,35.39,721600,7/27/2018
PFS,Provident Financial Services,26.23,-1.46,-5.27%,27.83,26.17,341100,7/27/2018
PGNX,Progenics Pharmaceut,7.66,0.25,3.37%,7.68,7.3,1834500,7/27/2018
PGTI,Pgt Inc,23.75,-0.05,-0.21%,24.05,23.3,885700,7/27/2018
PJC,Piper Jaffray Companies,77.15,1.1,1.45%,77.9,72.6,127800,7/27/2018
PKE,Park Electrochemical Corp,22.25,-0.44,-1.94%,22.75,22.15,83700,7/27/2018
PLAB,Photronics Inc,8.7,-0.05,-0.57%,8.9,8.68,299300,7/27/2018
PLAY,Dave & Buster's Ente,46.32,-0.32,-0.69%,47.15,46.03,857700,7/27/2018
PLCE,Children's Place Inc,119.35,-4.9,-3.94%,125.25,118.35,571500,7/27/2018
PLUS,Eplus Inc,98.9,-3.25,-3.18%,102.5,98.85,63500,7/27/2018
PLXS,Plexus Cp,58.98,-1.04,-1.73%,60.32,58.45,190200,7/27/2018
PMT,Pennymac Mortgage Investment Trust,19.01,-0.05,-0.26%,19.06,18.88,351300,7/27/2018
POWI,Power Integratn,71.07,-4.53,-5.99%,78,67.65,613800,7/27/2018
POWL,Powell Inds Inc,35.29,-1.01,-2.78%,36.7,35.08,29300,7/27/2018
PPBI,Pacific Premier Bncp,37.55,-0.2,-0.53%,37.8,37.28,288900,7/27/2018
PRA,Pro-Assurance Corp,40.15,-0.55,-1.35%,40.95,39.9,302800,7/27/2018
PRAA,Pra Group Inc,40.5,-1.8,-4.26%,42.5,40.45,245900,7/27/2018
PRFT,Perficient Inc,26.68,-0.66,-2.41%,27.42,26.6,109500,7/27/2018
PRGS,Progress Software,38.21,-1.7,-4.26%,40,38.04,259900,7/27/2018
PRLB,Proto Labs Inc,128.1,-8.6,-6.29%,138.3,127.45,168700,7/27/2018
PRSC,Providence Svc Cp,70.43,-0.96,-1.34%,71.54,70.26,55800,7/27/2018
PSB,Business Parks,125.56,-1.97,-1.54%,127.7,125.46,62700,7/27/2018
PUMP,Propetro Holding Corp,15.72,0.79,5.29%,15.76,14.96,1349900,7/27/2018
PVAC,Penn Va Corp,81.02,-0.06,-0.07%,81.24,78.38,159300,7/27/2018
QHC,Quorum Health Corp,4.75,-0.15,-3.06%,4.96,4.65,135700,7/27/2018
QLYS,Qualys Inc,90.45,-4.65,-4.89%,95.58,88.35,596700,7/27/2018
QNST,Quinstreet Inc,13.75,-0.51,-3.58%,14.39,13.66,392800,7/27/2018
QSII,Quality Systems Inc,20.08,-0.73,-3.51%,20.91,20.07,189800,7/27/2018
RAVN,Raven Industries Inc,38.8,-1.5,-3.72%,40.5,38.7,83100,7/27/2018
RCII,Rent-A-Center Inc,14.75,0,unch,14.75,14.7,1001100,7/27/2018
RECN,Resources Connect,15.55,-0.05,-0.32%,15.82,15.45,224900,7/27/2018
REGI,Renewable Energy,16.55,0.1,0.61%,16.65,16.4,443700,7/27/2018
